Play,Act,Scene,Player,Act_Scene,Act_Scene_Collapse,Category,value
A midsummer nights dream,1,1,Egeus,Act 1 Scene 1,11,love,2.0
A midsummer nights dream,1,1,Helena,Act 1 Scene 1,11,love,1.0
A midsummer nights dream,1,1,Hermia,Act 1 Scene 1,11,love,3.0
A midsummer nights dream,1,1,Lysander,Act 1 Scene 1,11,love,4.0
A midsummer nights dream,1,1,Theseus,Act 1 Scene 1,11,love,3.0
A midsummer nights dream,1,2,Bottom,Act 1 Scene 2,12,love,2.0
A midsummer nights dream,1,2,Quince,Act 1 Scene 2,12,love,1.0
A midsummer nights dream,2,1,Demetrius,Act 2 Scene 1,21,love,2.0
A midsummer nights dream,2,1,Helena,Act 2 Scene 1,21,love,2.0
A midsummer nights dream,2,1,Oberon,Act 2 Scene 1,21,love,2.0
A midsummer nights dream,2,1,Puck,Act 2 Scene 1,21,love,1.0
A midsummer nights dream,2,1,Titania,Act 2 Scene 1,21,love,2.0
A midsummer nights dream,2,2,Helena,Act 2 Scene 2,22,love,1.0
A midsummer nights dream,2,2,Hermia,Act 2 Scene 2,22,love,2.0
A midsummer nights dream,2,2,Lysander,Act 2 Scene 2,22,love,2.0
A midsummer nights dream,2,2,Puck,Act 2 Scene 2,22,love,1.0
A midsummer nights dream,3,1,Bottom,Act 3 Scene 1,31,love,4.0
A midsummer nights dream,3,1,Titania,Act 3 Scene 1,31,love,4.0
A midsummer nights dream,3,2,Demetrius,Act 3 Scene 2,32,love,9.0
A midsummer nights dream,3,2,Helena,Act 3 Scene 2,32,love,7.0
A midsummer nights dream,3,2,Hermia,Act 3 Scene 2,32,love,3.0
A midsummer nights dream,3,2,Lysander,Act 3 Scene 2,32,love,8.0
A midsummer nights dream,3,2,Oberon,Act 3 Scene 2,32,love,3.0
A midsummer nights dream,3,2,Puck,Act 3 Scene 2,32,love,2.0
A midsummer nights dream,4,1,Bottom,Act 4 Scene 1,41,love,1.0
A midsummer nights dream,4,1,Demetrius,Act 4 Scene 1,41,love,3.0
A midsummer nights dream,4,1,Hippolyta,Act 4 Scene 1,41,love,1.0
A midsummer nights dream,4,1,Oberon,Act 4 Scene 1,41,love,1.0
A midsummer nights dream,4,1,Theseus,Act 4 Scene 1,41,love,1.0
A midsummer nights dream,4,1,Titania,Act 4 Scene 1,41,love,2.0
A midsummer nights dream,5,1,Hippolyta,Act 5 Scene 1,51,love,1.0
A midsummer nights dream,5,1,Oberon,Act 5 Scene 1,51,love,1.0
A midsummer nights dream,5,1,Philostrate,Act 5 Scene 1,51,love,1.0
A midsummer nights dream,5,1,Pyramus,Act 5 Scene 1,51,love,1.0
A midsummer nights dream,5,1,Theseus,Act 5 Scene 1,51,love,7.0
A midsummer nights dream,5,1,Thisbe,Act 5 Scene 1,51,love,3.0
Hamlet,1,2,Hamlet,Act 1 Scene 2,12,love,1.0
Hamlet,1,2,Horatio,Act 1 Scene 2,12,love,1.0
Hamlet,1,2,King claudius,Act 1 Scene 2,12,love,2.0
Hamlet,1,3,Ophelia,Act 1 Scene 3,13,love,3.0
Hamlet,1,4,Hamlet,Act 1 Scene 4,14,love,2.0
Hamlet,1,4,Horatio,Act 1 Scene 4,14,love,1.0
Hamlet,1,5,Ghost,Act 1 Scene 5,15,love,2.0
Hamlet,1,5,Hamlet,Act 1 Scene 5,15,love,4.0
Hamlet,2,1,Lord polonius,Act 2 Scene 1,21,love,2.0
Hamlet,2,1,Ophelia,Act 2 Scene 1,21,love,1.0
Hamlet,2,2,First player,Act 2 Scene 2,22,love,2.0
Hamlet,2,2,Hamlet,Act 2 Scene 2,22,love,6.0
Hamlet,2,2,Lord polonius,Act 2 Scene 2,22,love,6.0
