play_name,from,to,label
Julius Caesar,Julius Caesar,Marcus Brutus,enemy
Julius Caesar,Julius Caesar,Calphurnia,husband
Julius Caesar,Calphurnia,Julius Caesar,wife
Julius Caesar,Julius Caesar,Octavius,uncle
Julius Caesar,Octavius,Julius Caesar,nephew and heir
Julius Caesar,Marcus Brutus,Julius Caesar,enemy
Julius Caesar,Marcus Brutus,Lucius,servant
Julius Caesar,Portia,Lucius,servant
Julius Caesar,Marcus Brutus,Portia,husband
Julius Caesar,Portia,Marcus Brutus,wife
Julius Caesar,Brutus,Cassius,brother-in-law
Julius Caesar,Cassius,Marcus Brutus,brother-in-law
Julius Caesar,Pindarus,Cassius,servant
The Merchant of Venice,The Prince of Morocco,Portia,lover
The Merchant of Venice,The Prince of Arragon,Portia,lover
The Merchant of Venice,Antonio,Bassanio,friend
The Merchant of Venice,Antonio,Shylock,enemy
The Merchant of Venice,Bassanio,Antonio,friend
The Merchant of Venice,Solanio,Antonio,friend
The Merchant of Venice,Solanio,Bassanio,friend
The Merchant of Venice,Salarino,Antonio,friend
The Merchant of Venice,Salarino,Bassanio,friend
The Merchant of Venice,Lorenzo,Antonio,friend
The Merchant of Venice,Lorenzo,Bassanio,friend
The Merchant of Venice,Gratiano,Antonio,friend
The Merchant of Venice,Gratiano,Bassanio,friend
The Merchant of Venice,Gratiano,Nerissa,lover
The Merchant of Venice,Lorenzo,Jessica,lover
The Merchant of Venice,Lorenzo,Shylock,enemy
The Merchant of Venice,Shylock,Jessica,father
The Merchant of Venice,Jessica,Shylock,daughter
The Merchant of Venice,Jessica,Lancelet Gobbo,friend
The Merchant of Venice,Tubal,Shylock,friend
The Merchant of Venice,Shylock,Tubal,friend
The Merchant of Venice,Lancelet Gobbo,Old Gobbo,son
The Merchant of Venice,Lancelet Gobbo,Shylock,servant
The Merchant of Venice,Lancelet Gobbo,Shylock,enemy
The Merchant of Venice,Lancelet Gobbo,Jessica,friend
The Merchant of Venice,Old Gobbo,Lancelet Gobbo,father
The Merchant of Venice,Leonardo,Bassanio,servant
The Merchant of Venice,Balthasar,Portia,servant
The Merchant of Venice,Stephano,Portia,servant
The Merchant of Venice,Nerissa,Portia,wainting maid
A Midsummer Night's Dream,Egeus,Hermia,father
A Midsummer Night's Dream,Lysander,Hermia,lover
A Midsummer Night's Dream,Philostrate,Theseus,master of the revels
A Midsummer Night's Dream,Hermia,Egeus,daughter
A Midsummer Night's Dream,Hermia,Lysander,lover
A Midsummer Night's Dream,Hermia,Helena,friend
A Midsummer Night's Dream,Helena,Hermia,friend
A Midsummer Night's Dream,Demetrius,Hermia,enemy
A Midsummer Night's Dream,Helena,Lysander,lover
A Midsummer Night's Dream,Hippolyta,Theseus,bethrothed
A Midsummer Night's Dream,Theseus,Hippolyta,bethrothed
A Midsummer Night's Dream,Theseus,Egus,friend
Hamlet,Hamlet,Claudius,nephew
Hamlet,Hamlet,Gertrude,son
Hamlet,Claudius,Hamlet,uncle
Hamlet,Gertrude,Hamlet,mother
Hamlet,Polonius,Laertes,father
Hamlet,Laertes,Polonius,son
Hamlet,Ophelia,Polonius,daughter
Hamlet,Polonius,Ophelia,father
Hamlet,Ophelia,Laertes,sister
Hamlet,Laertes,Ophelia,brother 
Hamlet,Horatio,Hamlet,friend
Hamlet,Hamlet,Horatio,friend
Hamlet,Reynaldo,Polonius,servant
Macbeth,Macbeth,Lady Macbeth,husband
Macbeth,Lady Macbeth,Macbeth,wife
Macbeth,Three witches,Macbeth,enemy
Macbeth,Three witches,Hecate,servant
Macbeth,Banquo,Fleance,father
Macbeth,Fleance,Banquo,son
Macbeth,Macduff,Lady Macduff,husband
Macbeth,Lady Macduff,Macduff,wife
Macbeth,Siward,Young Siward,father
Macbeth,Young Siward,Siward,son
Macbeth,Macduff,Boy,father
Macbeth,Boy,Macduff,son
Macbeth,king Duncan,Malcom,father
Macbeth,Malcom,king Duncan,son
Macbeth,Donalbain,Malcom,brother
Macbeth,Malcom,Donalbain,brother
