play_name,from,to,label
Macbeth,Hecate,Macbeth,enemy
Macbeth,Macbeth,Lady Macduff,killer
Macbeth,Macbeth,Banquo,killer
Macbeth,Macbeth,king Duncan,killer
Macbeth,Macbeth,young Siward,killer
Macbeth,Macbeth,Boy,killer
Macbeth,Macbeth,Macduff,enemy
Macbeth,Macduff,Macbeth,enemy
Romeo and Juliet,Romeo,Juliet,lover
Romeo and Juliet,Juliet,Romeo,lover
Romeo and Juliet,Juliet,Lady Capulet,daughter
Romeo and Juliet,Juliet,Lord Capulet,daughter
Romeo and Juliet,Lord Capulet,Juliet,father
Romeo and Juliet,Lady Capulet,Juliet,mother
Romeo and Juliet,Lady Capulet,Lord Capulet,wife
Romeo and Juliet,Lord Capulet,Lady Capulet,husband
Romeo and Juliet,Escalus,Paris,family
Romeo and Juliet,Paris,Escalus,family
Romeo and Juliet,Paris,Juliet,lover
Romeo and Juliet,Romeo,Paris,killer
Romeo and Juliet,Lady Capulet,Lady Montague,enemy
Romeo and Juliet,Lady Capulet,Lord Montague,enemy
Romeo and Juliet,Lord Capulet,Lady Montague,enemy
Romeo and Juliet,Lord Capulet,Lord Montague,enemy
Romeo and Juliet,Lord Montague,Lord Capulet,enemy
Romeo and Juliet,Lord Montague,Lady Capulet,enemy
Romeo and Juliet,Lady Montague,Lord Capulet,enemy
Romeo and Juliet,Lady Montague,Lady Capulet,enemy
Romeo and Juliet,Lord Montague,Lady Montague,husband
Romeo and Juliet,Lady Montague,Lord Montague,wife
Romeo and Juliet,Lady Montague,Romeo,mother
Romeo and Juliet,Lord Montague,Romeo,father
Romeo and Juliet,Romeo,Lady Montague,son
Romeo and Juliet,Romeo,Lord Montague,son
Romeo and Juliet,Mercutio,Romeo,friend
Romeo and Juliet,Mercutio,Benvolio,friend
Romeo and Juliet,Romeo,Mercutio,friend
Romeo and Juliet,Benvolio,Lord Montague,nephew
Romeo and Juliet,Lord Montague,Benvolio,uncle
Romeo and Juliet,Benvolio,Mercutio,friend
Romeo and Juliet,Benvolio,Romeo,cousin
Romeo and Juliet,Romeo,Benvolio,cousin
Romeo and Juliet,Mercutio,Escalus,family
Romeo and Juliet,Escalus,Mercutio,family
Romeo and Juliet,Tybalt,Lady Capulet,nephew
Romeo and Juliet,Lady Capulet,Tybalt,aunt 
Romeo and Juliet,Tybalt,Juliet,cousin
Romeo and Juliet,Juliet,Tybalt,cousin
Romeo and Juliet,Tybalt,Lord Montague,enemy
Romeo and Juliet,Tybalt,Lady Montague,enemy
Romeo and Juliet,Tybalt,Romeo,enemy
Romeo and Juliet,Tybalt,Mercutio,killer
Romeo and Juliet,Romeo,Tybalt,killer
Romeo and Juliet,Friar Laurence,Romeo,friend
Romeo and Juliet,Friar Laurence,Juliet,friend
Romeo and Juliet,Balthasar,Romeo,servant
Romeo and Juliet,Sampson,Lord Capulet,servant
Romeo and Juliet,Gregory,Lord Capulet,servant
Romeo and Juliet,Sampson,Gregory,friend
Romeo and Juliet,Gregory,Sampson,friend
Romeo and Juliet,Peter,Lord Capulet,servant
Romeo and Juliet,Abram,Lord Montague,servant
Romeo and Juliet,the Nurse ,Juliet,servant
Romeo and Juliet,Romeo,Rosaline,lover
King Lear,King Lear,Regan,father
King Lear,King Lear,Cordelia,father
King Lear,King Lear,Goneril,father
King Lear,Regan,Goneril,sister
King Lear,Regan,Cordelia,sister
King Lear,Cordelia,Goneril,sister
King Lear,King of France,Cordelia,husband
King Lear,Cornwall,Regan,husband
King Lear,Albany,Goneril,husband
King Lear,Oswald,Goneril,steward
King Lear,Fool,King Lear,servant
King Lear,Kent,King Lear,servant
King Lear,Gloucester,King Lear,loyal
King Lear,Edmund,Gloucester,illegitimate son
King Lear,Edgar,Gloucester,legitimate son
Othello,Othello,Desdemona,husband
Othello,Iago,Othello,enemy
Othello,Brabantio,Othello,enemy
Othello,Brabantio,Desdemona,father
Othello,Iago,Emilia,husband
Othello,Roderigo,Desdemona,lover
Othello,Cassio,Bianca,lover
Othello,Emilia,Desdemona,"servant, friend"
Othello,Gratiano,Lodovico,father
Othello,Brabantio,Gratiano,brother
Othello,Iago,Roderigo,killer
Othello,Montano,Othello,friend
Othello,Roderigo,Othello,enemy
Othello,Iago,Cassio,enemy
Othello,Cassio,Othello,lieutenant
